rollout/ep_rew_mean,time/fps,time/total_timesteps,time/episodes,rollout/ep_len_mean,time/time_elapsed,lilac/beta,lilac/kl,lilac/loss,lilac/dec_loss,lilac/cp_delta,lilac/cp_cooldown,lilac/s_env,lilac/risk,lilac/s_uncert,lilac/cp_flag,lilac/cp_kl
6.815630225000001,2,2400,40,60.0,960,0.009600000000000001,49.81170654296875,0.48018813133239746,0.0019957192707806826,0.006900579668581486,2.0,0.0,0.5114630591735452,0.9172054529190063,1.0,32.715023040771484
6.905700902439026,2,2460,41,60.0,1005,,,,,0.08963079005479813,2.0,0.0,0.5125803497107715,1.0066404342651367,1.0,20.083402633666992
6.923214452380954,2,2520,42,60.0,1050,,,,,0.010243657976388931,2.0,0.0,0.5137704140979706,1.1019117832183838,1.0,18.75809097290039
7.075047534883723,2,2580,43,60.0,1094,,,,,0.02137649618089199,2.0,0.0,0.5147173511013808,1.177728295326233,1.0,10.967638969421387
6.97954681818182,2,2640,44,60.0,1137,0.0104,16.603042602539062,0.1728275567293167,0.00015591313422191888,0.13112248480319977,2.0,0.0,0.5157770141506234,1.2625802755355835,1.0,11.645588874816895
7.017639800000002,2,2700,45,60.0,1181,,,,,0.023581571877002716,2.0,0.0,0.5164322707569856,1.315055251121521,1.0,6.61710786819458
6.989996152173916,2,2760,46,60.0,1225,,,,,0.019507719203829765,2.0,0.0,0.5172965221456838,1.3842741250991821,1.0,8.066823959350586
6.902400829787237,2,2820,47,60.0,1269,0.011200000000000002,8.776506423950195,0.09875213354825974,0.00045526717440225184,0.10694773495197296,2.0,0.0,0.5176880605847344,1.415635585784912,1.0,4.735900402069092
6.9180584791666675,2,2880,48,60.0,1312,,,,,0.0219440795481205,2.0,0.0,0.5183522712042399,1.468841552734375,1.0,6.150803565979004
6.87463842857143,2,2940,49,60.0,1331,,,,,0.025072365999221802,1.0,0.0,0.5058489820978196,0.46793991327285767,0.0,3.6275429725646973
6.794542480000001,2,3000,50,60.0,1350,0.012,34.71601486206055,0.41685938835144043,0.00026721408357843757,0.0029621056746691465,2.0,0.0,0.5067106329936943,0.5368828773498535,1.0,124.34981536865234
