timestep,clearance,violation,near_miss,shield_used,shield_reason,eps,inflate,ctx_id,crashed,speed,calib_resid,adj_risk,adj_unsafe,adj_s_env,adj_s_agent,adj_eps_override,budget_bt,budget_rem,budget_filtered,budget_risk
130,14.631702423095703,0,0,1,fallback,27.672399520874023,27.172399520874023,10,0,25.0,4.12317428588867,0.0,0,0.0,0.0,,,,0,
131,25.100692749023438,0,0,1,fallback,27.63695526123047,27.13695526123047,10,0,25.0,8.068990325927732,0.0,0,0.0,0.0,,,,0,
132,49.982452392578125,0,0,1,fallback,27.601512908935547,27.101512908935547,10,0,25.0,22.481759643554685,0.0,0,0.0,0.0,,,,0,
133,51.686834907531725,0,0,0,original_ok,27.579994201660156,27.079994201660156,10,0,23.623079776763927,1.3081334114074608,0.0,0,0.0,0.0,,,,0,
134,9.028621673583984,0,0,1,fallback,27.55847930908203,27.05847930908203,10,0,25.0,25.365148162841795,0.0,0,0.0,0.0,,,,0,
135,19.85419464111328,0,0,1,fallback,27.536962509155273,27.036962509155273,10,0,25.0,8.425572967529295,0.0,0,0.0,0.0,,,,0,
136,9.34463882446289,0,0,1,fallback,27.515445709228516,27.015445709228516,10,0,25.0,26.563336944580076,0.0,0,0.0,0.0,,,,0,
137,23.848262786865234,0,0,1,fallback,27.49393081665039,26.99393081665039,10,0,25.0,12.103623962402342,0.0,0,0.0,0.0,,,,0,
138,14.673042297363281,0,0,1,fallback,27.472412109375,26.972412109375,10,0,25.0,28.219424819946287,0.0,0,0.0,0.0,,,,0,
139,31.419918060302734,0,0,1,fallback,27.707841873168945,27.207841873168945,10,0,25.0,14.346875762939451,0.0,0,0.0,0.0,,,,0,
140,11.758430480957031,0,0,1,fallback,27.672399520874023,27.172399520874023,10,0,25.0,25.839306449890135,0.0,0,0.0,0.0,,,,0,
141,9.718292236328125,0,0,1,fallback,27.63695526123047,27.13695526123047,10,0,25.0,26.060266113281248,0.0,0,0.0,0.0,,,,0,
142,23.186290740966797,0,0,1,fallback,27.601512908935547,27.101512908935547,10,0,25.0,11.06799850463867,0.0,0,0.0,0.0,,,,0,
143,10.229057312011719,0,0,1,fallback,27.579994201660156,27.079994201660156,9,0,25.0,23.445573425292967,0.0,0,0.0,0.0,,,,0,
144,19.906307220458984,0,0,1,fallback,27.55847930908203,27.05847930908203,9,0,25.0,7.2772499084472635,0.0,0,0.0,0.0,,,,0,
145,9.809646606445312,0,0,1,fallback,27.536962509155273,27.036962509155273,9,0,25.0,26.051650619506834,0.0,0,0.0,0.0,,,,0,
146,24.999073028564453,0,0,1,fallback,27.515443801879883,27.015443801879883,9,0,25.0,12.789426422119138,0.0,0,0.0,0.0,,,,0,
147,9.390323638916016,0,0,1,fallback,27.49393081665039,26.99393081665039,9,0,25.0,24.17603073120117,0.0,0,0.0,0.0,,,,0,
148,9.86990737915039,0,0,1,fallback,27.472412109375,26.972412109375,9,0,25.0,26.603009796142576,0.0,0,0.0,0.0,,,,0,
149,11.28823471069336,0,0,1,fallback,27.450897216796875,26.950897216796875,9,0,25.0,26.674105262756346,0.0,0,0.0,0.0,,,,0,
150,26.676288604736328,0,0,1,fallback,27.429378509521484,26.929378509521484,9,0,25.0,12.988053894042967,0.0,0,0.0,0.0,,,,0,
151,10.631782531738281,0,0,1,fallback,27.407861709594727,26.907861709594727,9,0,25.0,27.081307983398435,0.0,0,0.0,0.0,,,,0,
152,12.234817504882812,0,0,1,fallback,27.581308364868164,27.081308364868164,9,0,25.0,26.08342418670654,0.0,0,0.0,0.0,,,,0,
153,21.65500259399414,0,0,1,fallback,27.561811447143555,27.061811447143555,9,0,25.0,7.020185089111326,0.0,0,0.0,0.0,,,,0,
154,11.26480484008789,0,0,1,fallback,27.542316436767578,27.042316436767578,9,0,25.0,27.189090347290037,0.0,0,0.0,0.0,,,,0,
155,26.313404083251953,0,0,1,fallback,27.59545135498047,27.09545135498047,9,0,25.0,12.64859924316406,0.0,0,0.0,0.0,,,,0,
156,41.518798828125,0,0,1,feasible_alt,27.59343147277832,27.09343147277832,9,0,25.0,12.805394744873045,0.0,0,0.0,0.0,,,,0,
157,46.590338516235335,0,0,0,original_ok,27.591411590576172,27.091411590576172,9,0,27.530499458313002,4.7798385143279845,0.0,0,0.0,0.0,,,,0,
158,9.11008071899414,0,0,1,fallback,27.58938980102539,27.08938980102539,16,0,25.0,25.45171604156494,0.0,0,0.0,0.0,,,,0,
159,22.572078704833984,0,0,1,fallback,27.587369918823242,27.087369918823242,16,0,25.0,11.061997985839842,0.0,0,0.0,0.0,,,,0,
160,38.399261474609375,0,0,1,fallback,27.585350036621094,27.085350036621094,16,0,25.0,13.427182769775388,0.0,0,0.0,0.0,,,,0,
161,40.44945812225344,0,0,0,original_ok,27.583328247070312,27.083328247070312,16,0,25.6441283226013,1.975791597366353,0.0,0,0.0,0.0,,,,0,
162,14.503639221191406,0,0,1,fallback,27.581308364868164,27.081308364868164,16,0,25.0,27.826873397827146,0.0,0,0.0,0.0,,,,0,
163,31.644973754882812,0,0,1,fallback,27.5994930267334,27.0994930267334,16,0,25.0,14.741334533691404,0.0,0,0.0,0.0,,,,0,
164,11.3385009765625,0,0,1,fallback,27.597471237182617,27.097471237182617,16,0,25.0,25.88354263305664,0.0,0,0.0,0.0,,,,0,
165,25.25940704345703,0,0,1,fallback,27.59545135498047,27.09545135498047,16,0,25.0,11.52090606689453,0.0,0,0.0,0.0,,,,0,
166,14.668693542480469,0,0,1,fallback,27.59343147277832,27.09343147277832,16,0,25.0,25.532785034179685,0.0,0,0.0,0.0,,,,0,
167,12.91015625,0,0,1,fallback,27.591411590576172,27.091411590576172,16,0,25.0,26.79704246520996,0.0,0,0.0,0.0,,,,0,
168,12.545310974121094,0,0,1,fallback,27.58938980102539,27.08938980102539,16,0,25.0,26.494804954528806,0.0,0,0.0,0.0,,,,0,
169,28.57886505126953,0,0,1,fallback,27.587369918823242,27.087369918823242,16,0,25.0,13.633554077148435,0.0,0,0.0,0.0,,,,0,
170,70.6094977378845,0,0,1,feasible_alt,27.585350036621094,27.085350036621094,16,0,22.224533796310446,40.83063268661496,0.0,0,0.0,0.0,,,,0,
171,106.70598039627075,0,0,0,original_ok,27.61026954650879,27.11026954650879,16,0,17.345999002456676,37.118852043151875,0.0,0,0.0,0.0,,,,0,
172,11.54378890991211,0,0,1,fallback,27.689090728759766,27.189090728759766,19,0,25.0,22.457236862182615,0.0,0,0.0,0.0,,,,0,
173,24.06487274169922,0,0,1,fallback,27.68033218383789,27.18033218383789,19,0,25.0,10.121083831787107,0.0,0,0.0,0.0,,,,0,
174,39.20750427246094,0,0,1,fallback,27.67157554626465,27.17157554626465,19,0,25.0,12.742631530761717,0.0,0,0.0,0.0,,,,0,
175,67.15952177047728,0,0,1,feasible_alt,27.662817001342773,27.162817001342773,19,0,23.941867589950565,26.752017498016343,0.0,0,0.0,0.0,,,,0,
